B,L,D,C1 Load,R1 Resistance,C2 Load,R2 Resistance,Volume,Price
0.35,0.55,4,533.61225,904.7238745,415.02,440.4313659,0.09625,11068.75
0.41,0.47,3.8,533.1087,962.3643771,415.02,463.7675242,0.09635,11080.25
0.41,0.47,3.85,533.2387725,970.5469072,415.02,467.720674,0.09635,11080.25
0.41,0.47,3.9,533.368845,978.7294373,415.02,471.6738238,0.09635,11080.25
0.41,0.47,3.95,533.4989175,986.9119674,415.02,475.6269736,0.09635,11080.25
0.41,0.47,4,533.62899,995.0944975,415.02,479.5801235,0.09635,11080.25
0.42,0.46,3.8,533.1492,979.7678971,415.02,471.4216527,0.0966,11109
0.42,0.46,3.85,533.27961,988.0993134,415.02,475.4403352,0.0966,11109
0.42,0.46,3.9,533.41002,996.4307297,415.02,479.4590177,0.0966,11109
0.42,0.46,3.95,533.54043,1004.762146,415.02,483.4777002,0.0966,11109
0.42,0.46,4,533.67084,1013.093562,415.02,487.4963826,0.0966,11109
0.43,0.45,3.8,533.1735,996.8571451,415.02,478.8916547,0.09675,11126.25
0.43,0.45,3.85,533.3041125,1005.335034,415.02,482.974399,0.09675,11126.25
0.43,0.45,3.9,533.434725,1013.812923,415.02,487.0571434,0.09675,11126.25
0.43,0.45,3.95,533.5653375,1022.290812,415.02,491.1398878,0.09675,11126.25
0.43,0.45,4,533.69595,1030.7687,415.02,495.2226321,0.09675,11126.25
0.44,0.44,3.8,533.1816,1013.630357,415.02,486.1768343,0.0968,11132
0.44,0.44,3.85,533.31228,1022.252305,415.02,490.3221698,0.0968,11132
0.44,0.44,3.9,533.44296,1030.874252,415.02,494.4675053,0.0968,11132
0.44,0.44,3.95,533.57364,1039.4962,415.02,498.6128408,0.0968,11132
0.44,0.44,4,533.70432,1048.118148,415.02,502.7581764,0.0968,11132
0.38,0.51,3.8,533.1978,921.087749,415.02,446.1760503,0.0969,11143.5
0.34,0.57,3.8,533.1978,866.1590843,415.02,422.418518,0.0969,11143.5
0.38,0.51,3.85,533.328615,928.9166847,415.02,449.9784323,0.0969,11143.5
0.34,0.57,3.85,533.328615,873.5205046,415.02,426.0184629,0.0969,11143.5
0.38,0.51,3.9,533.45943,936.7456204,415.02,453.7808143,0.0969,11143.5
0.34,0.57,3.9,533.45943,880.8819248,415.02,429.6184079,0.0969,11143.5
0.38,0.51,3.95,533.590245,944.574556,415.02,457.5831964,0.0969,11143.5
0.34,0.57,3.95,533.590245,888.243345,415.02,433.2183528,0.0969,11143.5
0.38,0.51,4,533.72106,952.4034917,415.02,461.3855784,0.0969,11143.5
0.34,0.57,4,533.72106,895.6047653,415.02,436.8182977,0.0969,11143.5
0.36,0.54,3.8,533.2464,894.918148,415.02,435.0029996,0.0972,11178
0.36,0.54,3.85,533.37762,902.5238137,415.02,438.7099811,0.0972,11178
0.36,0.54,3.9,533.50884,910.1294794,415.02,442.4169626,0.0972,11178
0.36,0.54,3.95,533.64006,917.7351451,415.02,446.1239442,0.0972,11178
0.36,0.54,4,533.77128,925.3408108,415.02,449.8309257,0.0972,11178
